,Club Name,similarity
103,Cal Poly Survivor Club,0.3476687697640343
104,Cal Poly Textile Engineering Club,0.34588352326635013
105,Backcountry Squatters at Cal Poly,0.34561456007680047
106,Women Empowered,0.3442889129682784
107,Argentine Cultural Society at Cal Poly,0.3393953644630464
108,Cal Poly Pickleball Clun,0.3386341582260286
109,Men’s Health & Wellbeing Club,0.3371268940504538
110,Cal Poly Archery Club,0.33432769482593433
111,Cal Poly Fiber Arts Club,0.33114770530791093
112,Sustainable Fashion Club,0.32754193889281447
113,Turning Point USA at Cal Poly,0.3242405492756706
114,Epic Movement,0.31998002805366393
115,Swing Club,0.3150998534032954
116,CP Drag Club,0.3138761674835243
117,Cal Poly Hiking and Backpacking Club,0.3109157479872039
118,Furries at Cal Poly,0.29879151937148446
119,Cru,0.29790080806712715
120,Kappa Alpha Theta,0.2962646868654658
121,Christian Students on Campus,0.2798646071911314
122,Cal Poly Country Line Dancing Club,0.2773550792095434
123,SLOBreakers,0.2770515183798537
124,Kesem at Cal Poly,0.24630724198047502
125,Cal Poly Ballroom,0.24615355758062
126,Cal Poly Unicycle Club,0.1810345802082715
